CustomerID,LastPurchase,FirstPurchase,TotalOrders,Revenue,CustomerAge,DaysSinceLastPurchase,Churn,Segment
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,325,325,1,At Risk
12347.0,2011-12-07 15:52:00,2010-12-07 14:57:00,7,4310.0,366,1,0,Champions
12348.0,2011-09-25 13:13:00,2010-12-16 19:09:00,4,1797.24,357,74,0,At Risk
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,18,18,0,Potential Loyalist
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,309,309,1,At Risk
12352.0,2011-11-03 14:37:00,2011-02-16 12:33:00,8,2506.04,296,35,0,Others
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,203,203,1,At Risk
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,231,231,1,At Risk
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.40000000000003,213,213,1,At Risk
12356.0,2011-11-17 08:40:00,2011-01-18 09:50:00,3,2811.43,325,22,0,Potential Loyalist
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,32,32,0,Potential Loyalist
12358.0,2011-12-08 10:26:00,2011-07-12 10:04:00,2,1168.06,150,1,0,Potential Loyalist
12359.0,2011-10-13 12:47:00,2011-01-12 12:43:00,4,6372.58,331,57,0,Others
12360.0,2011-10-18 15:22:00,2011-05-23 09:43:00,3,2662.06,200,51,0,Others
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,286,286,1,At Risk
12362.0,2011-12-06 15:40:00,2011-02-17 10:30:00,10,5226.2300000000005,295,2,0,Champions
12363.0,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,241,109,1,At Risk
12364.0,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1313.1,111,7,0,Loyal Customers
12365.0,2011-02-21 14:04:00,2011-02-21 13:51:00,2,641.38,290,290,1,At Risk
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,3,3,0,Potential Loyalist
12370.0,2011-10-19 14:51:00,2010-12-14 12:58:00,4,3545.69,359,50,0,Others
12371.0,2011-10-26 10:16:00,2011-10-11 10:43:00,2,1887.96,59,44,0,Others
12372.0,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1298.04,296,71,0,Others
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,310,310,1,At Risk
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,24,24,0,Potential Loyalist
12375.0,2011-11-29 10:36:00,2011-09-02 14:23:00,2,457.5,97,10,0,Potential Loyalist
12377.0,2011-01-28 15:45:00,2010-12-20 09:37:00,2,1628.1200000000001,354,314,1,At Risk
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,129,129,1,At Risk
12379.0,2011-09-19 10:09:00,2011-06-22 16:32:00,2,852.24,169,81,0,At Risk
12380.0,2011-11-18 11:27:00,2011-06-07 09:49:00,4,2724.81,185,21,0,Loyal Customers
12381.0,2011-12-05 12:44:00,2011-08-12 09:57:00,5,1845.31,119,4,0,Loyal Customers
12383.0,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1850.56,351,184,1,At Risk
12384.0,2011-11-11 08:39:00,2011-08-10 11:23:00,2,585.27,121,28,0,Potential Loyalist
12386.0,2011-01-06 12:37:00,2010-12-08 09:53:00,2,401.9,366,337,1,At Risk
12388.0,2011-11-24 12:30:00,2011-01-17 11:12:00,6,2780.6600000000003,326,15,0,Loyal Customers
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,79,79,0,At Risk
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,21,21,0,Potential Loyalist
12393.0,2011-09-28 15:41:00,2011-01-11 09:47:00,4,1582.6000000000001,332,71,0,Others
12394.0,2011-10-07 08:08:00,2011-05-06 14:01:00,2,1272.48,216,63,0,Others
12395.0,2011-11-20 15:21:00,2010-12-03 16:35:00,12,3018.63,370,18,0,Loyal Customers
12397.0,2011-11-04 09:52:00,2011-07-27 14:21:00,2,2409.9,134,35,0,Others
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,45,45,0,Others
12399.0,2011-08-12 13:15:00,2011-03-23 09:42:00,4,1108.65,261,118,1,At Risk
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,302,302,1,At Risk
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.60000000000002,322,322,1,At Risk
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,49,49,0,Others
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,148,148,1,At Risk
12406.0,2011-11-17 19:22:00,2011-06-09 10:23:00,2,3415.3,183,21,0,Potential Loyalist
12407.0,2011-10-21 10:11:00,2011-03-20 13:21:00,5,1708.12,263,49,0,Others
12408.0,2011-11-07 12:27:00,2011-03-24 14:46:00,5,2888.55,259,32,0,Loyal Customers
12409.0,2011-09-22 10:38:00,2011-06-10 12:19:00,3,11072.67,182,78,0,At Risk
12410.0,2011-02-04 10:39:00,2011-02-04 10:38:00,2,693.33,308,308,1,At Risk
12412.0,2011-09-26 10:16:00,2011-06-23 13:51:00,3,1226.88,168,74,0,At Risk
12413.0,2011-10-04 09:00:00,2011-01-06 16:12:00,3,758.1,336,66,0,Others
12414.0,2011-05-06 14:51:00,2011-02-02 14:51:00,3,562.4100000000001,309,216,1,At Risk
12415.0,2011-11-15 14:22:00,2011-01-06 11:12:00,21,124914.53,337,23,0,Loyal Customers
12417.0,2011-12-06 14:52:00,2010-12-17 11:51:00,9,3649.1,357,2,0,Champions
12418.0,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,112,112,1,At Risk
12420.0,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,63,63,0,Others
12421.0,2011-11-24 09:07:00,2011-01-24 15:09:00,4,807.04,318,15,0,Loyal Customers
12422.0,2011-09-05 09:48:00,2011-01-19 09:13:00,3,803.5600000000001,324,95,1,At Risk
12423.0,2011-12-09 10:10:00,2010-12-21 10:54:00,8,1859.31,353,0,0,Loyal Customers
12424.0,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,162,162,1,At Risk
12425.0,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,77,77,0,At Risk
12426.0,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,194,194,1,At Risk
12427.0,2011-11-18 08:56:00,2010-12-03 10:44:00,3,825.8000000000001,371,21,0,Potential Loyalist
12428.0,2011-11-14 08:22:00,2011-03-01 09:33:00,9,7956.46,283,25,0,Loyal Customers
12429.0,2011-11-30 17:22:00,2010-12-09 12:05:00,4,3750.4,365,8,0,Loyal Customers
12430.0,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,42,42,0,Others
12431.0,2011-11-04 11:55:00,2010-12-01 10:03:00,15,6487.45,373,35,0,Others
12432.0,2011-10-28 11:43:00,2011-06-20 13:27:00,5,5059.32,171,42,0,Others
12433.0,2011-12-09 10:02:00,2010-12-01 13:24:00,7,13375.87,372,0,0,Champions
12434.0,2011-09-16 12:38:00,2011-03-24 13:05:00,2,806.14,259,84,0,At Risk
12435.0,2011-09-21 09:06:00,2011-03-17 07:40:00,2,7829.89,267,79,0,At Risk
12436.0,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,99,99,1,At Risk
12437.0,2011-12-08 11:35:00,2011-01-12 14:13:00,18,4951.41,330,1,0,Champions
12438.0,2011-11-25 13:28:00,2011-07-22 13:29:00,2,2906.85,139,13,0,Potential Loyalist
12441.0,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,366,366,1,At Risk
12442.0,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,2,2,0,Potential Loyalist
12444.0,2011-11-18 13:23:00,2011-06-21 14:00:00,5,5005.46,170,20,0,Loyal Customers
12445.0,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,21,21,0,Potential Loyalist
12446.0,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,57,57,0,Others
12447.0,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,242,242,1,At Risk
12448.0,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,43,43,0,Others
12449.0,2011-11-17 13:46:00,2011-06-05 15:37:00,4,4067.29,186,21,0,Loyal Customers
12450.0,2011-07-06 14:41:00,2011-06-19 14:36:00,2,197.88,172,155,1,At Risk
12451.0,2011-11-29 08:40:00,2011-01-19 09:05:00,5,9035.52,324,10,0,Loyal Customers
12452.0,2011-11-23 10:28:00,2011-11-23 08:05:00,2,430.57000000000005,16,16,0,Potential Loyalist
12453.0,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,133,133,1,At Risk
12454.0,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,55,55,0,Others
12455.0,2011-09-27 15:31:00,2011-02-16 09:56:00,6,2466.86,296,72,0,At Risk
12456.0,2011-10-26 14:41:00,2011-03-30 09:12:00,3,3181.04,254,43,0,Others
12457.0,2011-10-04 13:13:00,2011-04-14 18:57:00,7,2363.23,238,65,0,Others
12458.0,2011-09-29 15:25:00,2011-02-28 10:55:00,2,947.4,284,70,0,Others
12461.0,2011-09-06 16:57:00,2011-07-08 10:23:00,2,826.88,154,93,1,At Risk
12462.0,2011-11-21 09:11:00,2011-02-09 14:44:00,2,1189.59,302,18,0,Potential Loyalist
12463.0,2011-10-17 13:44:00,2011-04-12 12:47:00,4,1344.78,241,52,0,Others
12464.0,2011-11-29 13:33:00,2011-02-03 13:30:00,8,1212.05,308,9,0,Loyal Customers
12465.0,2011-11-22 16:34:00,2011-06-23 13:37:00,2,742.19,168,16,0,Potential Loyalist
12468.0,2011-06-05 11:36:00,2011-01-27 13:29:00,2,729.54,315,187,1,At Risk
12471.0,2011-12-07 15:43:00,2010-12-10 09:35:00,30,19824.05,364,1,0,Champions
12472.0,2011-11-07 14:01:00,2010-12-05 14:19:00,7,6572.11,368,31,0,Loyal Customers
12473.0,2011-11-10 13:46:00,2011-06-01 10:15:00,5,3938.55,191,28,0,Loyal Customers
12474.0,2011-11-22 14:39:00,2011-01-14 10:06:00,18,7375.79,329,16,0,Loyal Customers
12475.0,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,53,53,0,Others
12476.0,2011-11-24 12:40:00,2010-12-13 14:39:00,11,6816.42,360,15,0,Loyal Customers
12477.0,2011-11-17 09:51:00,2011-02-11 12:45:00,6,13219.74,301,22,0,Loyal Customers
12478.0,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,3,3,0,Potential Loyalist
12479.0,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,10,10,0,Potential Loyalist
12480.0,2011-11-11 14:52:00,2011-01-07 15:27:00,4,3281.63,335,27,0,Loyal Customers
12481.0,2011-11-17 08:29:00,2010-12-09 10:13:00,10,5596.32,365,22,0,Loyal Customers
12483.0,2011-11-22 17:02:00,2011-01-04 14:20:00,8,2484.98,338,16,0,Loyal Customers
12484.0,2011-11-07 11:37:00,2011-01-07 14:04:00,6,4541.72,335,32,0,Loyal Customers
12488.0,2011-11-30 08:50:00,2011-09-25 10:34:00,3,1298.66,75,9,0,Potential Loyalist
12489.0,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,335,335,1,At Risk
12490.0,2011-12-04 16:07:00,2011-01-14 09:13:00,10,5417.93,329,4,0,Champions
12491.0,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,38,38,0,Others
12492.0,2011-10-07 15:15:00,2011-08-26 14:51:00,2,263.21000000000004,104,62,0,Others
12493.0,2011-06-27 10:17:00,2011-05-26 14:53:00,2,433.74,196,165,1,At Risk
12494.0,2011-11-24 09:34:00,2010-12-09 11:31:00,7,1246.1,365,15,0,Loyal Customers
12497.0,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,81,81,0,At Risk
12498.0,2011-11-18 12:53:00,2011-10-13 09:30:00,3,403.70000000000005,57,20,0,Potential Loyalist
12500.0,2011-11-16 16:20:00,2011-01-10 09:48:00,11,4257.82,333,22,0,Loyal Customers
12501.0,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,336,336,1,At Risk
12502.0,2011-09-05 11:52:00,2011-02-03 10:41:00,5,3723.87,309,95,1,At Risk
12504.0,2011-11-21 16:02:00,2011-11-09 14:56:00,2,482.04999999999995,29,17,0,Potential Loyalist
12506.0,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,232,232,1,At Risk
12507.0,2011-07-28 17:09:00,2011-02-14 09:24:00,3,1304.81,298,133,1,At Risk
12508.0,2011-11-13 15:37:00,2011-11-10 16:27:00,2,398.27,28,25,0,Potential Loyalist
12509.0,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,283,283,1,At Risk
